category,type,value,strain,sex,subsp,,,
WSB female,per0CO,0.0875,WSB,female,Dom,,,
WSB female,per1CO,0.6,WSB,female,Dom,,,
WSB female,per2CO,0.2875,WSB,female,Dom,,,
WSB female,per3CO,0.025,WSB,female,Dom,,,
WSB male,per0CO,0.052631579,WSB,male,Dom,,,
WSB male,per1CO,0.7894737,WSB,male,Dom,,,
WSB male,per2CO,0.1578947,WSB,male,Dom,,,
LEW female,per0CO,0.116666667,LEW,female,Dom,,,
LEW female,per1CO,0.6333333,LEW,female,Dom,,,
LEW female,per2CO,0.2416667,LEW,female,Dom,,,
LEW female,per3CO,0,LEW,female,Dom,,,
LEW female,per4CO,0.008333333,LEW,female,Dom,,,
LEW male,per0CO,0.043062201,LEW,male,Dom,,,
LEW male,per1CO,0.6889952,LEW,male,Dom,,,
LEW male,per2CO,0.2631579,LEW,male,Dom,,,
LEW male,per3CO,0.004784689,LEW,male,Dom,,,
PWD female,per0CO,0.0375,PWD,female,Musc,,,
PWD female,per1CO,0.675,PWD,female,Musc,,,
PWD female,per2CO,0.225,PWD,female,Musc,,,
PWD female,per3CO,0.05,PWD,female,Musc,,,
PWD female,per4CO,0.0125,PWD,female,Musc,,,
PWD male,per0CO,0.026548673,PWD,male,Musc,,,
PWD male,per1CO,0.4247788,PWD,male,Musc,,,
PWD male,per2CO,0.5486726,PWD,male,Musc,,,
MSM female,per0CO,0.02919708,MSM,female,Musc,,,
MSM female,per1CO,0.5985401,MSM,female,Musc,,,
MSM female,per2CO,0.3430657,MSM,female,Musc,,,
MSM female,per3CO,0.02919708,MSM,female,Musc,,,
SKIVE female,per0CO,0.016759777,SKIVE,female,Musc,,,
SKIVE female,per1CO,0.5977654,SKIVE,female,Musc,,,
SKIVE female,per2CO,0.3743017,SKIVE,female,Musc,,,
SKIVE female,per3CO,0.011173184,SKIVE,female,Musc,,,
SKIVE male,per0CO,0.007575758,SKIVE,male,Musc,,,
SKIVE male,per1CO,0.5454545,SKIVE,male,Musc,,,
SKIVE male,per2CO,0.4393939,SKIVE,male,Musc,,,
SKIVE male,per3CO,0.007575758,SKIVE,male,Musc,,,
KAZ female,per0CO,0.0375,KAZ,female,Musc,,,
KAZ female,per1CO,0.675,KAZ,female,Musc,,,
KAZ female,per2CO,0.26875,KAZ,female,Musc,,,
KAZ female,per3CO,0.01875,KAZ,female,Musc,,,
KAZ male,per0CO,0.037878788,KAZ,male,Musc,,,
KAZ male,per1CO,0.7651515,KAZ,male,Musc,,,
KAZ male,per2CO,0.1893939,KAZ,male,Musc,,,
KAZ male,per3CO,0.007575758,KAZ,male,Musc,,,
AST male,per0CO,0.035087719,AST,male,Musc,,,
AST male,per1CO,0.6842105,AST,male,Musc,,,
AST male,per2CO,0.2807018,AST,male,Musc,,,
TOM male,per0CO,0.026315789,TOM,male,Musc,,,
TOM male,per1CO,0.6315789,TOM,male,Musc,,,
TOM male,per2CO,0.3421053,TOM,male,Musc,,,
MSM male,per0CO,0.018181818,MSM,male,Musc,,,
MSM male,per1CO,0.3954545,MSM,male,Musc,,,
MSM male,per2CO,0.5545455,MSM,male,Musc,,,
MSM male,per3CO,0.031818182,MSM,male,Musc,,,
G male,per0CO,0.070175439,G,male,Dom,,,
G male,per1CO,0.6549708,G,male,Dom,,,
G male,per2CO,0.2690058,G,male,Dom,,,
G male,per3CO,0.005847953,G,male,Dom,,,
