"","mouse","NA","date"
"1","10mar15_WSB_m1",NA,2015-03-10
"2","10mar15_WSB_m2",NA,2015-03-10
"3","11jan18_KAZ_f1",NA,2018-01-11
"4","11jan18_SPIC_m1",NA,2018-01-11
"5","11jan18_SPRET_m1",NA,2018-01-11
"6","11sep14_G_m1",NA,2014-09-11
"7","11sep14_G_m2",NA,2014-09-11
"8","12feb17_LEW_m1",NA,2017-02-12
"9","12sep16_MSM_f1",NA,2016-09-12
"10","12sep16_MSM_f2",NA,2016-09-12
"11","12sep16_MSM_f3",NA,2016-09-12
"12","13jan17_LEW_m1",NA,2017-01-13
"13","13oct14_G_f1",NA,2014-10-13
"14","13oct14_G_f2",NA,2014-10-13
"15","13oct14_G_f3",NA,2014-10-13
"16","13oct14_G_f4",NA,2014-10-13
"17","13oct17_MAD_m9",NA,2017-10-13
"18","13oct17_SPRET_m1",NA,2017-10-13
"19","14jul17_MSM_f2",NA,2017-07-14
"20","14jul17_SPRET_f1",NA,2017-07-14
"21","14mar15_G_m1",NA,2015-03-14
"22","14mar15_G_m2",NA,2015-03-14
"23","14sep14_WSB_f1",NA,2014-09-14
"24","15sep14_WSB_f2",NA,2014-09-15
"25","16jan16_G_f3",NA,2016-01-16
"26","16jun15_WSB_f3",NA,2015-06-16
"27","16nov17_SPIC_f1",NA,2017-11-16
"28","16sep15_WSB_m1",NA,2015-09-16
"29","17mar16_G_f2",NA,2016-03-17
"30","18nov17_WSB_f5",NA,2017-11-18
"31","18sep17_LEW_m3",NA,2017-09-18
"32","19may18_KAZ_m1",NA,2018-05-19
"33","19may18_SPIC_m2",NA,2018-05-19
"34","19oct15_WSB_m1",NA,2015-10-19
"35","19oct17_SPIC_f1",NA,2017-10-19
"36","19oct17_SPIC_f2",NA,2017-10-19
"37","19oct17_SPIC_f3",NA,2017-10-19
"38","19oct17_SPIC_f4",NA,2017-10-19
"39","1apr15_PWD_f2",NA,2015-04-01
"40","1apr16_WSB_m1",NA,2016-04-01
"41","1feb18_KAZ_f3",NA,2018-02-01
"42","1feb18_KAZ_f5",NA,2018-02-01
"43","1feb18_KAZ_f6",NA,2018-02-01
"44","1mar15_WSB_m1",NA,2015-03-01
"45","1mar18_CAROLI_m1",NA,2018-03-01
"46","20feb16_G_f1",NA,2016-02-20
"47","20feb16_G_f2",NA,2016-02-20
"48","20sep18_BW_m1",NA,2018-09-20
"49","20sep18_BW_m2",NA,2018-09-20
"50","20sep18_BW_m3",NA,2018-09-20
"51","20sep18_LL_m1",NA,2018-09-20
"52","20sep18_LL_m10",NA,2018-09-20
"53","20sep18_LL_m2",NA,2018-09-20
"54","20sep18_LL_m3",NA,2018-09-20
"55","20sep18_LL_m4",NA,2018-09-20
"56","20sep18_LL_m5",NA,2018-09-20
"57","20sep18_LL_m6",NA,2018-09-20
"58","20sep18_LL_m7",NA,2018-09-20
"59","20sep18_LL_m8",NA,2018-09-20
"60","20sep18_LL_m9",NA,2018-09-20
"61","21dec14_PWD_m4",NA,2014-12-21
"62","21dec14_WSB_m1",NA,2014-12-21
"63","21may18_KAZ_m2",NA,2018-05-21
"64","22aug17_MAD_m1",NA,2017-08-22
"65","22aug17_MAD_m3",NA,2017-08-22
"66","24aug17_MAD_m6",NA,2017-08-24
"67","24aug17_MAD_m7",NA,2017-08-24
"68","24aug17_PERC_m1",NA,2017-08-24
"69","24sep14_PWD_m1",NA,2014-09-24
"70","24sep14_PWD_m3",NA,2014-09-24
"71","24sep15_WSB_m1",NA,2015-09-24
"72","25sep14_G_m1",NA,2014-09-25
"73","26sep18_CZECH_m1",NA,2018-09-26
"74","27aug18_CZECH_m1",NA,2018-08-27
"75","27aug18_HMI_m1",NA,2018-08-27
"76","27oct18_MOLF_m2",NA,2018-10-27
"77","27oct18_SKIVE_m1",NA,2018-10-27
"78","27oct18_SKIVE_m2",NA,2018-10-27
"79","27sep14_WSB_m1",NA,2014-09-27
"80","28feb15_PWD_f5",NA,2015-02-28
"81","28jun18_MAD_m18",NA,2018-06-28
"82","28jun18_MAD_m19",NA,2018-06-28
"83","28jun18_MOLF_m1",NA,2018-06-28
"84","30dec14_WSB_m1",NA,2014-12-30
"85","30dec14_WSB_m2",NA,2014-12-30
"86","30dec14_WSB_m4",NA,2014-12-30
"87","30dec14_WSB_m5",NA,2014-12-30
"88","30dec16_MSM_m1",NA,2016-12-30
"89","30jun16_CAST_m2",NA,2016-06-30
"90","30may17_SPRET_m1",NA,2017-05-30
"91","30may18_MAD_m15",NA,2018-05-30
"92","30may18_SPIC_f1",NA,2018-05-30
"93","30may18_SPIC_f2",NA,2018-05-30
"94","30may18_SPIC_f4",NA,2018-05-30
"95","30oct17_HMI_m1",NA,2017-10-30
"96","30oct17_SPIC_m2",NA,2017-10-30
"97","30oct17_SPIC_m4",NA,2017-10-30
"98","30sep14_G_m1",NA,2014-09-30
"99","30sep14_G_m2",NA,2014-09-30
"100","30sep14_G_m3",NA,2014-09-30
"101","30sep14_G_m4",NA,2014-09-30
"102","30sep14_G_m5",NA,2014-09-30
"103","30sep16_LEWES_m1",NA,2016-09-30
"104","30sep16_MSM_f1",NA,2016-09-30
"105","31mar15_WSB_m3",NA,2015-03-31
"106","3feb18_MAD_m11",NA,2018-02-03
"107","3feb18_MAD_m12",NA,2018-02-03
"108","3oct17_SPRET_m2",NA,2017-10-03
"109","3sep14_PWD_2-1",NA,2014-09-03
"110","3sep14_PWD_m1",NA,2014-09-03
"111","3sep14_PWD_m2",NA,2014-09-03
"112","3sep18_TOM_m1",NA,2018-09-03
"113","4dec09_PWD_m2",NA,2009-12-04
"114","4jul18_MAD_m23",NA,2018-07-04
"115","4jul18_MAD_m24",NA,2018-07-04
"116","5jul17_PERC_m1",NA,2017-07-05
"117","6mar16_G_m2",NA,2016-03-06
"118","7aug18_AST_m1",NA,2018-08-07
"119","8jun15_G_f1",NA,2015-06-08
"120","8jun15_G_f2",NA,2015-06-08
"121","8jun18_AST_m1",NA,2018-06-08
"122","8jun18_CZECH_m1",NA,2018-06-08
"123","8jun18_SPIC_m2",NA,2018-06-08
"124","8oct14_PWD_f1",NA,2014-10-08
"125","8oct14_PWD_f2",NA,2014-10-08
"126","8oct14_PWD_f3",NA,2014-10-08
"127","8oct14_PWD_f5",NA,2014-10-08
"128","8oct14_WSB_f1",NA,2014-10-08
"129","8oct14_WSB_f3",NA,2014-10-08
"130","8sep14_PWD_m1",NA,2014-09-08
"131","8sep14_PWD_m2",NA,2014-09-08
"132","8sep14_PWD_m3",NA,2014-09-08
