Original.Name,DOB,Mat.DOB,M stained,imaged,MLH1 quality,,total images,good images,quant batch,mean quality,pass,,D stained,
,DOB,,,M stained,imaged,MLH1 quality,,total images,good images,quant batch,mean quality,pass,,D stained
30oct17_SPIC_m1,4/6/2017,,yes,yes,not very good,,,26,25,batch7,,,,
30oct17_SPIC_m2,9/10/2017,,yes,yes,not very good,,13,,,,,,,
30oct17_SPIC_m3,9/10/2017,,,no,,,,,,,,,,
30oct17_SPIC_m4,9/10/2017,,,yes,,,4,,,,,,,
,,,,,,,,,,,,,,
7nov17_SPIC_m1,9/10/2017,spic1,yes,yes,good,,,~40,,batch7,yes?,,,
4dec17_SPIC_m1,10/5/2017,spic2,10dec17_MLH1,yes,good,,,46,41,batch7,yes?,,,
11jan18_SPIC_m1,4/6/2018,org,22jan18_MLH1-1,needs more imaging,,,,,5,batch9,"no, more imaging",,,
19may18_SPIC_m1,4/917,,,,,,,,,,,,,
19may18_SPIC_m2,4/917,,6jun18_MLH1_sp1,yes,pretty good?,,,25,,,,,,
8jun18_SPIC_m1,2/19/2019,,,,,,,,,,,,,
8jun18_SPIC_m2,2/19/2019,,,yes,not the best,,,,,Batch11,,,,
28jun18_SPIC_m1,5/7/2018,11/20/2017,22jun18_MLH1-2,,,,,,,,,,,
28jun18_SPIC_m2,5/7/2018,11/20/2017,1jul18_MLH1-1,,,,,,,,,,,
28jun18_SPIC_m3,5/7/2018,11/20/2017,1jul18_MLH1-2,,,,,,,,,,,
2aug18_SPIC_m1,6/22/2018,11/20/2017,7aug18_MLH1-1,,,,,,,,,,,
7aug18_SPIC_m1,7/6/2018,10/30/2017,,,,,,,,,,,,
,,,,,,,,,,,,,,
30oct17_SPIC_f1,,,31oct17_MLH1,,,,,,,,,,,
7nov17_SPIC_f1,,,4dec17_MLH1,,,,,,,,,,,
19oct17_SPIC_f1,,4/9/2017,22oct17_MLH1,,decent,,,,,,,,,
19oct17_SPIC_f2,,4/9/2017,22oct17_MLH1,,decent? or Not so good,,,5,,,,,,
19oct17_SPIC_f3,,4/9/2017,22oct17_MLH1,,decent?,,,5,,,,,,
19oct17_SPIC_f4,,4/9/2017,22oct17_MLH1,,,,,,,,,,,
4dec17_SPIC_f1,,,10dec17_MLH1,yes,good,,,40,,,,,,
4dec17_SPIC_f2,,,10dec17_MLH1,yes,good,,,38,33,,,,,
21aug17_SPIC_f1,,,,yes,"not the best, kinda good",,,18,,,,,,
,,,,,,,,,,,,,,
31dec17_SPIC_f2,,,,,,,,,,,,,,
30may18_SPIC_f1,,,28aug18_MLH1-2,1 cell,,,,,,,,,,
30may18_SPIC_f2,,,11jun18_MLH1,2 cells,,,,,,,,,,
30may18_SPIC_f3,,,22jun18_MLH-1,,,,,,,,,,,
30may18_SPIC_f4,,,6jun18_MLH1_sp1,"yes, whole slide",quite good compared to others,,,27,,,,,,
30may18_SPIC_f5,,,11jun18_MLH1,,,,,,,,,,,
11jan18_SPIC_f1,,4/6/2017,22jan18_MLH1-2,,,,,,,,,,,
11jan18_SPIC_f2,,4/6/2017,22jan18_MLH1-2,,,,,,,,,,,
31dec17_SPIC_f1,,spic1,3jan18_MLH1-1,7aug18_MLH1-1,,,,,,,,,,
31dec17_SPIC_f2,,spic1,3jan18_MLH1-2,7aug18_MLH1-2,,,,,,,,,,
