mouse,room
14sep14_WSB_f1,B2420
15sep14_WSB_f2,B2420
4apr15_WSB_f1,B2420
4apr15_WSB_f2,B2420
23apr15_WSB_f1,B2420
12jun15_WSB_f1,B2420
12jun15_WSB_f2,B2420
16jun15_WSB_f3,B2420
16jun15_WSB_f4,B2420
3nov15_WSB_f1,B2420
18nov17_WSB_f1,Charmony
18nov17_WSB_f2,Charmony
18nov17_WSB_f3,Charmony
18nov17_WSB_f4,Charmony
24sep14_WSB_m1,B2420
30dec14_WSB_m2,B2420
30dec14_WSB_m4,B2420
1mar15_WSB_m1,B2420
10mar15_WSB_m1,B2420
31mar15_WSB_m1,B2420
31mar15_WSB_m2,B2420
31mar15_WSB_m3,B2420
18may15_WSB_m1,B2420
12jun15_WSB_m1,B2420
12jun15_WSB_m2,B2420
16sep15_WSB_m1,B2420
12sep16_MSM_f1,B2420
30sep16_MSM_f1,B2420
30sep16_MSM_f2,B2420
13nov16_MSM_f1,B2420
13nov16_MSM_f2,B2420
31dec17_MSM_f1,MSC 3040
31dec17_MSM_f2,MSC 3040
31dec17_MSM_f3,MSC 3040
31dec17_MSM_f4,MSC 3040
31dec17_MSM_f5,MSC 3040
30may17_MSM_m1,B2420
31aug16_MSM_m1,B2420
30sep16_MSM_m1,B2420
13nov16_MSM_m1,B2420
13nov16_MSM_m2,B2420
1feb18_MSM_m1,MSC 3040
4feb19_MSM_m1,MSC 3040
4jan17_LEW_f1,B2420
4jan17_LEW_f3,B2420
4jan17_LEW_f6,B2420
4jan17_LEW_f7,B2420
13jan17_LEW_f1,B2420
13jan17_LEW_f2,B2420
13jan17_LEW_f3,B2420
1feb18_LEW_f1,MSC 3040
13nov16_LEW_m1,B2420
20dec16_LEW_m1,B2420
20dec16_LEW_m2,B2420
20dec16_LEW_m3,B2420
4jan17_LEW_m1,B2420
13jan17_LEW_m1,B2420
1feb18_LEW_m1,MSC 3040
18feb18_LEW_m3,MSC 3040
